model,case,aggregate,r10,year,gtco2
REMIND-MAgPIE,A,Min,AFR,2000,0.9300425989999999
REMIND-MAgPIE,A,Min,AFR,2001,0.9195428849999997
REMIND-MAgPIE,A,Min,AFR,2002,0.8992741929999999
REMIND-MAgPIE,A,Min,AFR,2003,0.988565452
REMIND-MAgPIE,A,Min,AFR,2004,1.044866707
REMIND-MAgPIE,A,Min,AFR,2005,1.0631800310000001
REMIND-MAgPIE,A,Min,AFR,2006,1.0921658310000002
REMIND-MAgPIE,A,Min,AFR,2007,1.122721434
REMIND-MAgPIE,A,Min,AFR,2008,1.1756196259999998
REMIND-MAgPIE,A,Min,AFR,2009,1.1731634350000004
REMIND-MAgPIE,A,Min,AFR,2010,1.2153736899999998
REMIND-MAgPIE,A,Min,AFR,2011,1.255083884
REMIND-MAgPIE,A,Min,AFR,2012,1.2558515
REMIND-MAgPIE,A,Min,AFR,2013,1.2654697150000003
REMIND-MAgPIE,A,Min,AFR,2014,1.3449154920000002
REMIND-MAgPIE,A,Min,AFR,2015,1.3197872819999998
REMIND-MAgPIE,A,Min,AFR,2016,1.3554934610000002
REMIND-MAgPIE,A,Min,AFR,2017,1.3697096959999997
REMIND-MAgPIE,A,Min,AFR,2018,1.35707505
REMIND-MAgPIE,A,Min,AFR,2019,1.457568135
REMIND-MAgPIE,A,Min,AFR,2020,1.3564357210000002
REMIND-MAgPIE,A,Min,AFR,2021,1.435214084
REMIND-MAgPIE,A,Min,AFR,2022,1.416626588
REMIND-MAgPIE,A,Min,AFR,2023,1.48586601875193
REMIND-MAgPIE,A,Min,AFR,2024,1.5551054495038596
REMIND-MAgPIE,A,Min,AFR,2025,1.6243448802557894
REMIND-MAgPIE,A,Min,AFR,2026,1.6935843110077193
REMIND-MAgPIE,A,Min,AFR,2027,1.762823741759649
REMIND-MAgPIE,A,Min,AFR,2028,1.832063172511579
REMIND-MAgPIE,A,Min,AFR,2029,1.9013026032635085
REMIND-MAgPIE,A,Min,AFR,2030,1.9705420340154385
REMIND-MAgPIE,A,Min,AFR,2031,1.9926177104199443
REMIND-MAgPIE,A,Min,AFR,2032,2.01469338682445
REMIND-MAgPIE,A,Min,AFR,2033,2.036769063228956
REMIND-MAgPIE,A,Min,AFR,2034,2.0588447396334617
REMIND-MAgPIE,A,Min,AFR,2035,2.0809204160379675
REMIND-MAgPIE,A,Min,AFR,2036,2.1029960924424733
REMIND-MAgPIE,A,Min,AFR,2037,2.125071768846979
REMIND-MAgPIE,A,Min,AFR,2038,2.147147445251485
REMIND-MAgPIE,A,Min,AFR,2039,2.1692231216559907
REMIND-MAgPIE,A,Min,AFR,2040,2.1912987980604965
REMIND-MAgPIE,A,Min,AFR,2041,2.208938018426464
REMIND-MAgPIE,A,Min,AFR,2042,2.226577238792432
REMIND-MAgPIE,A,Min,AFR,2043,2.2442164591584
REMIND-MAgPIE,A,Min,AFR,2044,2.2618556795243676
REMIND-MAgPIE,A,Min,AFR,2045,2.2794948998903353
REMIND-MAgPIE,A,Min,AFR,2046,2.297134120256303
REMIND-MAgPIE,A,Min,AFR,2047,2.3147733406222706
REMIND-MAgPIE,A,Min,AFR,2048,2.3324125609882382
REMIND-MAgPIE,A,Min,AFR,2049,2.350051781354206
REMIND-MAgPIE,A,Min,AFR,2050,2.3676910017201735
REMIND-MAgPIE,A,Min,AFR,2051,2.4550707519000805
REMIND-MAgPIE,A,Min,AFR,2052,2.542450502079988
REMIND-MAgPIE,A,Min,AFR,2053,2.629830252259895
REMIND-MAgPIE,A,Min,AFR,2054,2.717210002439802
REMIND-MAgPIE,A,Min,AFR,2055,2.8045897526197088
REMIND-MAgPIE,A,Min,AFR,2056,2.8919695027996157
REMIND-MAgPIE,A,Min,AFR,2057,2.9793492529795227
REMIND-MAgPIE,A,Min,AFR,2058,3.0667290031594296
REMIND-MAgPIE,A,Min,AFR,2059,3.1541087533393366
REMIND-MAgPIE,A,Min,AFR,2060,3.2414885035192436
REMIND-MAgPIE,A,Min,AFR,2061,3.3774229515513583
REMIND-MAgPIE,A,Min,AFR,2062,3.513357399583473
REMIND-MAgPIE,A,Min,AFR,2063,3.649291847615588
REMIND-MAgPIE,A,Min,AFR,2064,3.7852262956477025
REMIND-MAgPIE,A,Min,AFR,2065,3.9211607436798173
REMIND-MAgPIE,A,Min,AFR,2066,4.057095191711932
REMIND-MAgPIE,A,Min,AFR,2067,4.193029639744046
REMIND-MAgPIE,A,Min,AFR,2068,4.3289640877761615
REMIND-MAgPIE,A,Min,AFR,2069,4.464898535808276
REMIND-MAgPIE,A,Min,AFR,2070,4.600832983840391
REMIND-MAgPIE,A,Min,AFR,2071,4.715850548604044
REMIND-MAgPIE,A,Min,AFR,2072,4.830868113367695
REMIND-MAgPIE,A,Min,AFR,2073,4.945885678131348
REMIND-MAgPIE,A,Min,AFR,2074,5.060903242895
REMIND-MAgPIE,A,Min,AFR,2075,5.1759208076586525
REMIND-MAgPIE,A,Min,AFR,2076,5.290938372422305
REMIND-MAgPIE,A,Min,AFR,2077,5.405955937185957
REMIND-MAgPIE,A,Min,AFR,2078,5.52097350194961
REMIND-MAgPIE,A,Min,AFR,2079,5.635991066713261
REMIND-MAgPIE,A,Min,AFR,2080,5.751008631476914
REMIND-MAgPIE,A,Min,AFR,2081,5.815173318937149
REMIND-MAgPIE,A,Min,AFR,2082,5.879338006397385
REMIND-MAgPIE,A,Min,AFR,2083,5.94350269385762
REMIND-MAgPIE,A,Min,AFR,2084,6.007667381317855
REMIND-MAgPIE,A,Min,AFR,2085,6.0718320687780905
REMIND-MAgPIE,A,Min,AFR,2086,6.135996756238326
REMIND-MAgPIE,A,Min,AFR,2087,6.200161443698561
REMIND-MAgPIE,A,Min,AFR,2088,6.264326131158796
REMIND-MAgPIE,A,Min,AFR,2089,6.328490818619032
REMIND-MAgPIE,A,Min,AFR,2090,6.392655506079267
REMIND-MAgPIE,A,Min,AFR,2091,6.382081252376963
REMIND-MAgPIE,A,Min,AFR,2092,6.37150699867466
REMIND-MAgPIE,A,Min,AFR,2093,6.360932744972358
REMIND-MAgPIE,A,Min,AFR,2094,6.350358491270054
REMIND-MAgPIE,A,Min,AFR,2095,6.33978423756775
REMIND-MAgPIE,A,Min,AFR,2096,6.329209983865447
REMIND-MAgPIE,A,Min,AFR,2097,6.318635730163145
REMIND-MAgPIE,A,Min,AFR,2098,6.308061476460841
REMIND-MAgPIE,A,Min,AFR,2099,6.297487222758537
REMIND-MAgPIE,A,Min,AFR,2100,6.286912969056234
REMIND-MAgPIE,C,Max,AFR,1990,0.6582814289999999
REMIND-MAgPIE,C,Max,AFR,1991,0.6878291450000001
REMIND-MAgPIE,C,Max,AFR,1992,0.666901477
REMIND-MAgPIE,C,Max,AFR,1993,0.706661511
REMIND-MAgPIE,C,Max,AFR,1994,0.7902813809999999
REMIND-MAgPIE,C,Max,AFR,1995,0.8445566109999999
REMIND-MAgPIE,C,Max,AFR,1996,0.8723208510000002
REMIND-MAgPIE,C,Max,AFR,1997,0.8939891620000001
REMIND-MAgPIE,C,Max,AFR,1998,0.9124421260000001
REMIND-MAgPIE,C,Max,AFR,1999,0.8996774830000002
REMIND-MAgPIE,C,Max,AFR,2000,0.9300425989999999
REMIND-MAgPIE,C,Max,AFR,2001,0.9195428849999997
REMIND-MAgPIE,C,Max,AFR,2002,0.8992741929999999
REMIND-MAgPIE,C,Max,AFR,2003,0.988565452
REMIND-MAgPIE,C,Max,AFR,2004,1.044866707
REMIND-MAgPIE,C,Max,AFR,2005,1.0631800310000001
REMIND-MAgPIE,C,Max,AFR,2006,1.0921658310000002
REMIND-MAgPIE,C,Max,AFR,2007,1.122721434
REMIND-MAgPIE,C,Max,AFR,2008,1.1756196259999998
REMIND-MAgPIE,C,Max,AFR,2009,1.1731634350000004
REMIND-MAgPIE,C,Max,AFR,2010,1.2153736899999998
REMIND-MAgPIE,C,Max,AFR,2011,1.255083884
REMIND-MAgPIE,C,Max,AFR,2012,1.2558515
REMIND-MAgPIE,C,Max,AFR,2013,1.2654697150000003
REMIND-MAgPIE,C,Max,AFR,2014,1.3449154920000002
REMIND-MAgPIE,C,Max,AFR,2015,1.3197872819999998
REMIND-MAgPIE,C,Max,AFR,2016,1.3554934610000002
REMIND-MAgPIE,C,Max,AFR,2017,1.3697096959999997
REMIND-MAgPIE,C,Max,AFR,2018,1.35707505
REMIND-MAgPIE,C,Max,AFR,2019,1.457568135
REMIND-MAgPIE,C,Max,AFR,2020,1.3564357210000002
REMIND-MAgPIE,C,Max,AFR,2021,1.435214084
REMIND-MAgPIE,C,Max,AFR,2022,1.416626588
REMIND-MAgPIE,C,Max,AFR,2023,1.5096756930450852
REMIND-MAgPIE,C,Max,AFR,2024,1.6027247980901702
REMIND-MAgPIE,C,Max,AFR,2025,1.6957739031352552
REMIND-MAgPIE,C,Max,AFR,2026,1.7888230081803402
REMIND-MAgPIE,C,Max,AFR,2027,1.8818721132254255
REMIND-MAgPIE,C,Max,AFR,2028,1.9749212182705107
REMIND-MAgPIE,C,Max,AFR,2029,2.0679703233155955
REMIND-MAgPIE,C,Max,AFR,2030,2.1610194283606807
REMIND-MAgPIE,C,Max,AFR,2031,2.195717966867326
REMIND-MAgPIE,C,Max,AFR,2032,2.2304165053739706
REMIND-MAgPIE,C,Max,AFR,2033,2.2651150438806154
REMIND-MAgPIE,C,Max,AFR,2034,2.2998135823872605
REMIND-MAgPIE,C,Max,AFR,2035,2.3345121208939057
REMIND-MAgPIE,C,Max,AFR,2036,2.3692106594005504
REMIND-MAgPIE,C,Max,AFR,2037,2.403909197907195
REMIND-MAgPIE,C,Max,AFR,2038,2.4386077364138403
REMIND-MAgPIE,C,Max,AFR,2039,2.4733062749204855
REMIND-MAgPIE,C,Max,AFR,2040,2.50800481342713
REMIND-MAgPIE,C,Max,AFR,2041,2.540061847177424
REMIND-MAgPIE,C,Max,AFR,2042,2.572118880927717
REMIND-MAgPIE,C,Max,AFR,2043,2.604175914678011
