iso3c,year,terr_GtCO2,pp2015,pp1990,pp1850,pp2015_atp_ppp_pf1,pp2015_atp_ppp_pf2,pp2015_atp_ppp_pf3,pp2015_atp_mer_pf1,pp2015_atp_mer_pf2,pp2015_atp_mer_pf3,pp1990_atp_ppp_pf1,pp1990_atp_ppp_pf2,pp1990_atp_ppp_pf3,pp1990_atp_mer_pf1,pp1990_atp_mer_pf2,pp1990_atp_mer_pf3,pp1850_atp_ppp_pf1,pp1850_atp_ppp_pf2,pp1850_atp_ppp_pf3,pp1850_atp_mer_pf1,pp1850_atp_mer_pf2,pp1850_atp_mer_pf3
SVK,2005,0.04282965819974746,0.332687815233009,0.1887160325852536,-1.6341061944885797,0.07631883047064202,0.17602725339364292,0.29435906887708474,0.04048607744862738,0.13141482417515857,0.27232565408396836,-0.4778625115687429,-0.21556470033126013,0.09066824299544618,-0.5751568958992912,-0.3336036690661929,0.0338870692396378,-1.968794051094892,-1.7064962398574093,-1.400263296530703,-2.0660884354254403,-1.824535208592342,-1.4570444702865113
SVK,2006,0.042594825176366834,0.332687815233009,0.1458863743855061,-1.6769358526883273,0.07628995154586556,0.17607254782948065,0.2945127535798726,0.039274010116322616,0.129573138261813,0.27183080717013447,-0.5205402869126743,-0.258063017606163,0.04829719077868566,-0.6211714908462124,-0.38122080566737687,-0.010208539356107549,-2.0114718264388234,-1.7489945571323124,-1.4426343487474633,-2.112103030372362,-1.872152345193526,-1.5011400788822566
SVK,2007,0.041001323568928806,0.332687815233009,0.1032915492091393,-1.719530677864694,0.0760214887998212,0.17585785586491226,0.29459533450810527,0.038351485231122834,0.12821503607063944,0.271610655779463,-0.5636239511039052,-0.3010035859882937,0.005978561638665503,-0.6661780225758589,-0.4273241201786688,-0.05335635656363802,-2.054555490630054,-1.791935125514443,-1.4849529778874837,-2.157109562102008,-1.9182556597048182,-1.544287896089787
SVK,2008,0.0413944069491645,0.332687815233009,0.06229022564021047,-1.760532001433623,0.07560150710506955,0.17547798263205575,0.29463276623528056,0.03749333269788676,0.12694823633124155,0.2715133430045636,-0.6055166622805788,-0.34277595835690183,-0.0348609653346742,-0.7093950389282146,-0.4715525557326727,-0.09457427588858047,-2.096448201806728,-1.8337074978830512,-1.5257925048608234,-2.200326578454364,-1.9624840952588216,-1.58550581541473
SVK,2009,0.03765305806602927,0.332687815233009,0.020895818691045953,-1.8019264083827875,0.07485337959067043,0.17470894783202276,0.2945389074602922,0.03668561317259215,0.12572663081128627,0.2714722217033033,-0.6487159903483125,-0.38598972465952447,-0.0764407929818931,-0.75286940325883,-0.5160338803865705,-0.13602600310830848,-2.1396475298744617,-1.8769212641856736,-1.5673723325080422,-2.243800942784979,-2.00696541991272,-1.6269575426344574
SVK,2010,0.0384365701304299,0.332687815233009,-0.0167572393749833,-1.8395794664488165,0.07470581307156711,0.174611885760131,0.2946490116125836,0.03678237888042705,0.12588551995684413,0.2719411387896039,-0.6865543122078269,-0.4236880205240973,-0.11374926914666461,-0.7901547052390029,-0.5530981840888001,-0.1723964876875932,-2.177485851733976,-1.9146195600502462,-1.6046808086728137,-2.2810862447651523,-2.0440297236149494,-1.6633280272137423
SVK,2011,0.03801626382192869,0.332687815233009,-0.055193809505413194,-1.8780160365792464,0.07440561255670568,0.17433372139503372,0.29470155521113395,0.03734170816264186,0.12694359067501276,0.27286239265154394,-0.7256044978010256,-0.4626628731098029,-0.15199617355620787,-0.8269313678162068,-0.5885070326840061,-0.2083522910267891,-2.2165360373271747,-1.953594412635952,-1.6429277130823574,-2.3178629073423562,-2.0794385722101554,-1.6992838305529383
SVK,2012,0.035939394512333654,0.332687815233009,-0.09321007332734188,-1.9160323004011752,0.07433352565867944,0.17432120191468548,0.2948440613268189,0.037951837966797956,0.12812243410626986,0.27385360575839485,-0.7636220802680587,-0.5005120633809856,-0.1895868628160634,-0.8631303891831864,-0.6231385459893501,-0.24368939483420105,-2.2545536197942075,-1.9914436029071347,-1.6805184023422126,-2.354061928709336,-2.1140700855154995,-1.7346209343603503
SVK,2013,0.03559539494855915,0.332687815233009,-0.1291494678396755,-1.9519716949135089,0.07441498248502176,0.1745082835110751,0.2950511477517791,0.038820096376017174,0.12968380605456323,0.2749518076562987,-0.7991326565287435,-0.5357436989943392,-0.2249294400748859,-0.8965746778345397,-0.654694658910359,-0.2766771040528575,-2.290064196054893,-2.0266752385204887,-1.7158609796010351,-2.3875062173606887,-2.145626198436508,-1.7676086435790066
SVK,2014,0.033683135533876515,0.332687815233009,-0.16474486278823475,-1.987567089862068,0.0745554801382721,0.1747416443071228,0.29526683057173203,0.03956226527245504,0.13101501615526806,0.275901073820375,-0.8341620296133234,-0.5705278930069468,-0.25991116726218644,-0.9300399326910596,-0.6865500274992495,-0.3097235945975637,-2.3250935691394727,-2.0614594325330957,-1.7508427067883354,-2.4209714722172087,-2.177481567025399,-1.8006551341237127
SVK,2015,0.03449702511761564,0.332687815233009,-0.19842799832211122,-2.021250225395945,0.07481673967570376,0.17503227806466193,0.2954861929152845,0.04033532564229264,0.13232866746977806,0.27679412341533655,-0.8669917268229345,-0.6032866558651282,-0.2929830252831984,-0.9615274436424623,-0.7165753400182663,-0.34102280513304717,-2.3579232663490837,-2.0942181953912775,-1.7839145648093477,-2.4524589831686114,-2.2075068795444155,-1.8319543446591964
SVK,2016,0.03493982382102755,0.29819079011539334,-0.23292502343972676,-2.0557472505135603,0.040575224888806785,0.14076315381391208,0.2611708887014557,0.0068520749374563,0.0994332556541112,0.24321993989288854,-0.9006768737112845,-0.6370512397880368,-0.32697402019896327,-0.9931718179026785,-0.7466472812370033,-0.37305575304334804,-2.3916084132374333,-2.127982779314186,-1.8179055597251126,-2.4841033574288276,-2.2375788207631526,-1.8639872925694971
SVK,2017,0.036140376134343295,0.26325096629436584,-0.2678648472607542,-2.0906870743345873,0.006198661684289189,0.10637635664815356,0.22651023727678274,-0.027101156926702015,0.06599675855169068,0.20911844945508892,-0.933974342284606,-0.6704013879776055,-0.3611549380820076,-1.0253266002542518,-0.7774312098000928,-0.4057575694946135,-2.424905881810755,-2.1613329275037545,-1.852086477608157,-2.516258139780401,-2.2683627493262417,-1.8966891090207627
SVK,2018,0.036131806193272414,0.22711059016002252,-0.3040052233950975,-2.126827450468931,-0.02924775252373192,0.07094350546415876,0.19069805040963092,-0.06227587495232307,0.031327017916555094,0.17379951692693105,-0.9681168792471131,-0.7045409973653971,-0.3964082383472999,-1.0587317528175513,-0.809498949331718,-0.4397042429799174,-2.4590484187732624,-2.195472536891546,-1.887339777873449,-2.5496632923437,-2.3004304888578675,-1.9306357825060667
