iso3c,year,terr_GtCO2,lulucf_GtCO2_mean,lulucf_GtCO2_blue,lulucf_GtCO2_hc2023,lulucf_GtCO2_oscar
AFG,1966,0.001091952965879266,0.009665736666666667,0.011196166666666669,0.006830523333333333,0.010970520000000001
AFG,1967,0.0012827980577427803,0.008487551111111111,0.008510663333333333,0.006387809999999999,0.01056418
AFG,1968,0.0012242812327339697,0.00794266,0.007623513333333334,0.006090076666666668,0.010114390000000001
AFG,1969,9.419170078740143e-4,0.0074908411111111114,0.006790593333333333,0.005787283333333334,0.009894646666666666
AFG,1970,0.0016716125624296964,0.007282757777777778,0.006868839999999999,0.005151520000000001,0.009827913333333334
AFG,1971,0.0018949316338376931,0.006717467777777778,0.005943886666666667,0.0046772,0.009531316666666668
AFG,1972,0.001531460683463733,0.006180777777777778,0.005433266666666667,0.004187516666666666,0.00892155
AFG,1973,0.001636643891245902,0.005713106666666666,0.004563313333333333,0.0037538233333333335,0.008822183333333334
AFG,1974,0.0019145447304901098,0.005212582222222223,0.00411686,0.003168953333333333,0.008351933333333334
AFG,1975,0.00212292684368721,0.004839071111111111,0.0037571600000000003,0.0026606066666666666,0.008099446666666668
AFG,1976,0.0019823002720730995,0.004554464444444445,0.0035073500000000002,0.0022760833333333335,0.00787996
AFG,1977,0.0023859101315523612,0.004276738888888889,0.0031661300000000005,0.0019166399999999998,0.007747446666666666
AFG,1978,0.0021548669120199466,0.00392656,0.002765363333333333,0.0016020399999999999,0.007412276666666666
AFG,1979,0.0022343792205073276,0.0038016,0.0028717699999999996,0.0013501766666666668,0.007182853333333334
AFG,1980,0.001757580732924841,0.003616262222222222,0.0026824966666666667,0.0011274266666666665,0.0070388633333333325
AFG,1981,0.0019799026190152444,0.00351274,0.00278487,9.203333333333333e-4,0.006833016666666666
AFG,1982,0.0020961049603830197,0.003155423333333333,0.00224796,7.536833333333334e-4,0.0064646266666666665
AFG,1983,0.0025217877963246245,0.0030240466666666666,0.002188963333333333,6.264500000000001e-4,0.006256726666666666
AFG,1984,0.002823593248598621,0.0027749211111111113,0.0019112866666666664,4.7666666666666674e-4,0.005936810000000001
AFG,1985,0.0035039700883149234,0.0025680966666666665,0.0016234533333333331,3.374066666666667e-4,0.00574343
AFG,1986,0.003135925563975259,0.0023582044444444444,0.0013167733333333334,2.4937e-4,0.00550847
AFG,1987,0.003116092337535067,0.002200721111111111,0.0010620866666666666,1.6375333333333334e-4,0.005376323333333333
AFG,1988,0.0028589751767332766,0.0021342322222222226,0.0010393166666666665,1.0684666666666665e-4,0.005256533333333334
AFG,1989,0.002766867297225456,0.0019876388888888886,9.437266666666666e-4,4.6383333333333334e-5,0.004972806666666666
AFG,1990,0.0020257993085880657,0.0017091555555555553,1.8898e-4,1.7673333333333332e-5,0.004920813333333333
AFG,1991,0.0019156943467560027,0.001604411111111111,2.3320000000000004e-5,-2.086333333333333e-5,0.004810776666666666
AFG,1992,0.0014831326419213994,0.0010168155555555557,-0.0016409799999999998,-1.2503333333333333e-4,0.00481646
AFG,1993,0.001488025200145561,1.7003555555555565e-4,-0.0040466799999999995,-2.557133333333333e-4,0.0048125
AFG,1994,0.0014548870091907872,2.5815777777777753e-4,-0.00361823,-4.0333333333333334e-4,0.004796036666666666
AFG,1995,0.0014183585334788943,5.879255555555552e-4,-0.00245872,-5.378266666666667e-4,0.004760323333333333
AFG,1996,0.001371101164483259,0.0013834455555555554,-3.2779999999999994e-5,-6.187866666666667e-4,0.004801903333333333
AFG,1997,0.001305101164483259,0.002813188888888889,0.0038148,-6.456633333333334e-4,0.00527043
AFG,1998,0.0012794344978165923,0.0014430044444444443,-4.017566666666667e-4,-6.589733333333332e-4,0.005389743333333333
AFG,1999,0.0010924344978165924,0.0012500155555555557,-6.9817e-4,-6.685433333333333e-4,0.005116760000000001
AFG,2000,0.0010478901018922857,0.001109117777777778,-8.4315e-4,-6.6352e-4,0.004834023333333334
AFG,2001,0.001069876091703056,0.0015408800000000003,3.036e-4,-3.985666666666667e-4,0.004717606666666667
AFG,2002,0.0013419714724776436,0.004418394444444445,0.007577863333333333,3.9919e-4,0.00527813
