model,scen,r10,peakyearbin,pkyearbin,netzeroyearbin,nzyearbin,category,ppp_pf,rcb2100_gtco2_cmltv,gtco2_cdr_cmltv
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,MER_1/x,337.4866368043845,1.551938379490209
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,PPP_1/asinh(x),151.7863964742152,1.551938379490209
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,PPP_1/sqrt(x),238.10957155048268,1.551938379490209
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,PPP_1/x,376.0403523465799,1.551938379490209
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,MER_1/asinh(x),210.04886340498308,1.551938379490209
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,MER_1/sqrt(x),286.47078639315316,1.551938379490209
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,MER_1/x,392.4776631090069,1.551938379490209
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,PPP_1/asinh(x),206.77742277883752,1.551938379490209
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,PPP_1/sqrt(x),293.100597855105,1.551938379490209
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,PPP_1/x,431.0313786512023,1.551938379490209
REMIND 2.1,CEMICS_GDPgrowth_1p5,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,1_PP1990,NA,112.4521715379557,78.56001135
REMIND 2.1,CEMICS_GDPgrowth_1p5,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,2_PP1850,NA,262.62946647434813,78.56001135
