iso3c,year,gtco2,pp1990,pp1850,pp1990_atp_ppp_pf1,pp1990_atp_ppp_pf2,pp1990_atp_ppp_pf3,pp1990_atp_mer_pf1,pp1990_atp_mer_pf2,pp1990_atp_mer_pf3,pp1850_atp_ppp_pf1,pp1850_atp_ppp_pf2,pp1850_atp_ppp_pf3,pp1850_atp_mer_pf1,pp1850_atp_mer_pf2,pp1850_atp_mer_pf3
SUR,2005,0.00158852,0.0611382328841938,0.06820142445161119,0.004506545958618428,0.0319724961117166,0.055136283308088174,0.0025120987728297697,0.03139248024334472,0.05428853083069607,0.015253356821481642,0.04271930697457982,0.06588309417095141,0.013258909635692984,0.04213929110620794,0.0650353416935593
SUR,2006,0.00173856,0.059549712884193806,0.0666129044516112,0.0034815232526433475,0.030773695072477143,0.05365969668803455,3.665341004192614e-4,0.029328519172043713,0.05258879648940658,0.014228334115506568,0.041520505935340346,0.06440650755089775,0.011113344963282475,0.04007533003490693,0.06333560735226978
SUR,2007,0.001756384,0.057811152884193806,0.0648743444516112,0.002246410811312702,0.02942203504464474,0.052037546339924856,-0.002837876933602778,0.026240496775651344,0.0504540369723987,0.012993221674175909,0.04016884590750795,0.06278435720278805,0.00790893392926044,0.03698730763851456,0.06120084783526192
SUR,2008,0.001931568,0.056054768884193806,0.0631179604516112,9.762309022117027e-4,0.028066005597840213,0.050404895872830965,-0.005477000755698902,0.023686745116015304,0.04850014586906244,0.01172304176507491,0.03881281646070342,0.06115170673569417,0.005269810107164305,0.03443355597887851,0.05924695673192565
SUR,2009,0.0019907040000000003,0.054123200884193805,0.06118639245161119,-6.342519773574265e-4,0.02641756571449131,0.048567006552590546,-0.00831475285837438,0.020913876652533726,0.04636502649936785,0.01011255888550578,0.03716437657735453,0.059313817415453766,0.0024320580044888337,0.03166068751539693,0.05711183736223104
SUR,2010,0.002370056,0.0521324968841938,0.05919568845161119,-0.0023518097473346766,0.02467140842150585,0.04665547336961996,-0.011126095474563287,0.018084851816213235,0.04414906440217245,0.00839500111552853,0.03541821928436906,0.05740228423248317,-3.79284611700087e-4,0.028831662679076442,0.05489587526503567
SUR,2011,0.002755048,0.0497624408841938,0.05682563245161119,-0.004413772415009114,0.022579904379462716,0.04437577581179455,-0.014087528302647728,0.015146419190878717,0.041656463465054104,0.006333038447854107,0.03332671524232594,0.055122586674657754,-0.0033407174397845282,0.025893230053741938,0.05240327432791731
SUR,2012,0.0024920800000000002,0.0470073928841938,0.054070584451611184,-0.006870196389776866,0.020105985744228935,0.04171353844610709,-0.01695685743897363,0.01233618270201936,0.038959179651766235,0.0038766144730863483,0.030852796607092142,0.0524603493089703,-0.00621004657611042,0.023082993564882567,0.04970599051462944
SUR,2013,0.003147388,0.044515312884193796,0.05157850445161118,-0.009336950950873432,0.017667915451159345,0.03925207465964888,-0.019743141041598296,0.009585643536984795,0.036449239096139056,0.0014098599119897817,0.028414726314022552,0.0499988855225121,-0.008996330178735086,0.02033245439984801,0.04719604995900225
SUR,2014,0.00320066,0.041367924884193795,0.04843111645161118,-0.012486719322016587,0.01454162785370277,0.036124088445390785,-0.023085972657552,0.006281286354948179,0.033312588264454025,-0.0017399084591533734,0.02528843871656599,0.04687089930825399,-0.012339161794688795,0.017028097217811393,0.04405939912731723
SUR,2015,0.002713354,0.038167264884193794,0.04523045645161118,-0.01564588724236947,0.011378573265422798,0.032943936394641354,-0.02632537472144375,0.0030654301463108255,0.030161500085052292,-0.004899076379506262,0.022125384128286005,0.04369074725750459,-0.01557856385858053,0.01381224100917404,0.040908310947915486
SUR,2016,0.002920766,0.03545391088419379,0.04251710245161118,-0.018006350579002267,0.008958632093358926,0.030316946938094697,-0.029000220187084147,3.838470186247056e-4,0.02749694664226736,-0.00725953971613906,0.019705442956222147,0.041063757800957904,-0.018253409324220926,0.011130657881487913,0.03824375750513058
SUR,2017,0.0024264060000000003,0.032533144884193795,0.03959633645161118,-0.0202676381640378,0.006578996905437791,0.027546338483684922,-0.031001947288215686,-0.00159603846550075,0.024913138804980507,-0.009520827301174588,0.01732580776830101,0.03829314934654813,-0.020255136425352475,0.00915077239736247,0.03565994966784373
SUR,2018,0.002089318,0.030106738884193796,0.03716993045161118,-0.0221530478484519,0.004606091965529302,0.025247301765414065,-0.03254433874197943,-0.0031271759953820644,0.02280450952519454,-0.011406236985588694,0.015352902828392495,0.03599411262827726,-0.02179752787911622,0.007619634867481143,0.033551320388057776
SUR,2019,0.002635797,0.02801742088419379,0.035080612451611176,-0.02374293714057383,0.0029244694414975736,0.02327095523391344,-0.0339089437944822,-0.004491677614421194,0.02097483490992738,-0.012996126277710629,0.013671280304360794,0.03401776609677665,-0.02316213293161898,0.006255133248442013,0.0317216457727906
SUR,2020,0.002917944,0.025381623884193794,0.03244481545161118,-0.02588987566700015,6.741226610800094e-4,0.020740113115121944,-0.035832967862994544,-0.006431964426175225,0.01858232693851311,-0.015143064804136935,0.011420933523943216,0.031486923977985165,-0.025086157000131323,0.0043148464366879885,0.029329137801376304
