r10,iso3c,country.name,pop_20202050,pop_19902019,pop_19902050,pop_18502050,pop_18501989,gtco2_18501989,co2_19902019_gt,gdp2017ppp_19902019_pc,gdp2017mer_19902019_pc
EUR,BIH,Bosnia and Herzegovina,108876971.12401399,112253714,221130685.12401396,548155394.124014,327024709,0.46433730800000006,0.4774086,7397.274469821496,2844.905223688128
EUR,CHE,Switzerland,270417962.42947274,225422716,495840678.4294727,1071183241.4294729,575342563,1.7030508149999997,1.287313826,57015.73710299897,62321.02962179948
EUR,CYP,Cyprus,43283381.79648597,22341665,65625046.796486,118427150.79648598,52802104,0.07585489800000002,0.21047856199999998,27601.541057439652,22540.178415285838
EUR,CZE,Czechia,351904575.3538445,312633613,664538188.3538444,1976514504.3538442,1311976316,8.182884457,3.706137253,27235.866339410535,12949.344138031105
EUR,DEU,Germany,2506613421.4865518,2438953956,4945567377.486552,13413286486.486553,8467719109,65.5000881,26.254610733999993,40668.68421438949,35330.49612136073
EUR,DNK,Denmark,192339486.19677594,163186375,355525861.1967757,821505572.196776,465979711,2.4984459860000006,1.5552657140000004,41000.588667405595,45900.22724255676
EUR,ESP,Spain,1573222609.0933459,1302461585,2875684194.093345,6223350929.093347,3347666735,5.992713493,8.614871373,30523.762577995727,23293.260722671497
EUR,EST,Estonia,39902523.87087423,41503667,81406190.87087424,222466750.8708742,141060560,1.0575266200000002,0.5671388060000001,19446.122826929968,10610.458718405314
EUR,FIN,Finland,183318408.67307726,158159905,341478313.6730772,793820950.6730773,452342637,1.435291051,1.7158109999999998,37116.31824252487,36824.560511016374
EUR,FRA,France,2231074382.9314814,1885094340,4116168722.9314814,10080394552.931484,5964225830,26.74937969999999,11.441658657000001,36060.36216999092,33006.18570895513
EUR,GBR,United Kingdom of Great Britain and Northern Ireland,2224688860.3523607,1839133798,4063822658.352362,10294217016.35236,6230394358,58.519219275000005,15.733024906000004,36118.97592618762,34982.75019432071
EUR,GRC,Greece,349705967.8498428,324784604,674490571.8498428,1542141903.8498428,867651332,1.241366337,2.7793888399999997,25590.78888596271,18326.885311770515
EUR,HRV,Croatia,129956419.24176653,132487160,262443579.2417665,700120310.2417662,437676731,0.501038657,0.593631346,17207.058233746953,9408.850691096339
EUR,HUN,Hungary,289230932.80068964,302268042,591498974.8006896,1728726924.8006895,1137227950,3.2574090260000004,1.706829921,19904.63742524921,9419.833946820008
EUR,IRL,Ireland,177200942.69117725,123932546,301133488.6911773,877549947.6911772,576416459,0.976237156,1.214417795,51579.58051128071,44386.947720365104
EUR,ISL,Iceland,13346587.750420656,8916614,22263201.75042066,39216414.75042067,16953213,0.062057908,0.09192925099999999,42645.36096956199,45239.83807645904
EUR,ITA,Italy,1915201459.37146,1752559606,3667761065.371461,9228111619.371458,5560350554,11.43359812,13.004241001000002,35478.266423652814,28740.28484453964
EUR,LTU,Lithuania,90682651.22994556,99259381,189942032.22994554,535256807.22994536,345314775,1.069651033,0.470924317,17546.288647518362,8139.412087228463
EUR,LUX,Luxembourg,22241211.274502374,14270482,36511693.27450237,74613078.27450238,38101385,0.43473721200000004,0.31071090700000004,64879.08587449516,83817.98872497406
EUR,LVA,Latvia,60642542.31586097,68096654,128739196.31586097,400672966.3158611,271933770,0.6728568710000001,0.27073959599999997,16747.204292473387,7955.055252199165
EUR,MKD,North Macedonia,68879427.95661862,61294740,130174167.95661864,281308832.9566185,151134665,0.256845616,0.246875681,10114.5729971334,3446.7357636527436
EUR,MLT,Malta,13758030.501040343,12087835,25845865.501040347,60966624.501040354,35120759,0.029854272,0.072606423,25169.251223182233,17747.311676504185
EUR,MNE,Montenegro,20835059.97844276,18609607,39444666.97844275,98715049.97844279,59270383,0.045835703,0.056477690000000004,12739.552135289585,3801.606692239631
EUR,NLD,Netherlands,559058366.0322248,486198689,1045257055.032225,2130448708.032225,1085191653,6.482175963,5.122676247,44578.316096097085,39423.023470086475
EUR,NOR,Norway,194210621.41907266,141462843,335673464.4190728,717507242.4190726,381833778,1.3213724480000002,1.2650130000000002,63836.08803903368,62523.558047773164
EUR,POL,Poland,1148794989.6253765,1148657107,2297452096.625376,5842133336.625377,3544681240,17.398433791,10.088389150000001,18634.413063358166,8317.748206957398
EUR,PRT,Portugal,343805704.1252537,309469555,653275259.1252536,1584809916.125254,931534657,0.8883532769999999,1.6829822430000005,24892.81861668105,16896.318864788704
EUR,ROU,Romania,596980971.0893915,643749349,1240730320.089392,3202849910.0893908,1962119590,5.41717571,3.091531921,13907.020155875916,5242.965454937998
EUR,SRB,Serbia,294430463.7231024,240832945,535263408.7231027,1141188808.7231028,605925400,1.348489955,1.4148037970000003,10896.059529848584,3862.169519823205
EUR,SVK,Slovakia,173842195.60478738,161890836,335733031.6047874,806483356.6047876,470750325,2.62146136,1.2465720780000002,21277.162838837277,11140.336796635072
EUR,SVN,Slovenia,66618011.99476463,60625836,127243847.99476464,296300543.9947647,169056696,0.381654626,0.46652611499999996,26296.644336170473,17547.04334830296
EUR,SWE,Sweden,351595185.44064754,275445863,627041048.4406475,1464665486.440648,837624438,3.373055133000001,1.5764724730000004,41765.74407971776,42945.325500925945
EUR,TUR,Turkey,2789325650.204935,2033108390,4822434040.204935,7710901779.204935,2888467739,2.253284494,8.232177551000001,17704.23931997054,7364.8479532781785
FSU,ARM,Armenia,87828762.87657051,91854251,179683013.87657052,369450611.8765704,189767598,0.231211366,0.138244189,7100.214084590244,1977.1333886067089
FSU,AZE,Azerbaijan,332188144.72849745,257521388,589709532.7284974,995610619.7284974,405901087,1.3795901440000002,1.047579664,9891.143685437304,3085.671978402415
FSU,BLR,Belarus,271293474.62390655,291254786,562548260.6239066,1442228751.6239064,879680491,2.9404238429999996,1.9520304170000005,14423.315374506841,3725.983905265171
FSU,GEO,Georgia,113955638.18551137,132545623,246501261.18551147,664993999.1855111,418492738,0.428114006,0.22175544600000005,7592.22549214243,2002.8754573967146
FSU,KAZ,Kazakhstan,593785291.681503,486249055,1080034346.6815033,1996953309.6815033,916918963,6.966294123000001,6.477798800000001,15462.45376507724,5575.355929686971
FSU,KGZ,Kyrgyz Republic,194451099.07289043,155780467,350231566.0728906,585992937.0728906,235761371,0.5972059889999999,0.23629422000000003,4323.4912897487975,755.6565424144696
FSU,MDA,Republic of Moldova,85187470.786127,125507263,210694733.78612697,509609236.78612715,298914503,1.081276193,0.251437133,4953.534487195872,1112.2815610826963
FSU,RUS,Russian Federation,4315587931.220561,4369397014,8684984945.22056,20645034470.220562,11960049525,63.974968161000014,50.318704322,18219.098023121413,6763.022656051636
FSU,TJK,Tajikistan,251148293.92177868,208508028,459656321.9217786,687383291.9217787,227726970,0.3404230710000001,0.123669453,2911.8850108120896,565.2899805743041
FSU,TKM,Turkmenistan,189779329.55847427,143797001,333576330.5584743,504951208.5584742,171374878,0.887342419,1.421109151,14227.832624335295,3383.503237001642
FSU,UKR,Ukraine,1260431123.960958,1429151904,2689583027.9609575,7001381342.960958,4311798315,20.148224524,10.25503574,8774.681702764607,2001.2260039369573
FSU,UZB,Uzbekistan,1010873151.0697016,795317158,1806190309.0697012,2719082167.0697017,912891858,2.6814572670000003,3.455078854,7292.645215617868,1248.9967532752519
LAM,ABW,Aruba,4364707.480006744,2788810,7153517.480006744,10604567.480006749,3451050,0.030077333,0.04512948799999999,43332.74364992932,23098.265676642
