model,scen,r10,peakyearbin,netzeroyearbin,terr_GtCO2_cmltv,terr_GtCO2_orig_cmltv,terr_GtCO2_cdr_cmltv,modelledpaths,pkyearbin,nzyearbin
AIM/CGE 2.2,EN_INDCi2030_1800,R10INDIA+,peak: 2030,net-zero: 2080,113.74791041337477,108.25929879999995,1.82135622,17,2030,2080
AIM/CGE 2.2,EN_INDCi2030_1800,R10LATIN_AM,peak: 2050,net-zero: 2080,91.17488329346534,94.9427568,5.079811500000001,15,2050,2080
AIM/CGE 2.2,EN_INDCi2030_1800,R10MIDDLE_EAST,peak: 2050,net-zero: 2110,130.8656186476365,134.1789802,0,81,2050,2110
AIM/CGE 2.2,EN_INDCi2030_1800,R10NORTH_AM,peak: 2020,net-zero: 2110,237.47802269086554,236.88111145999994,0,262,2020,2110
AIM/CGE 2.2,EN_INDCi2030_1800,R10PAC_OECD,peak: 2020,net-zero: 2110,65.57426393263204,66.25440879999995,0,249,2020,2110
AIM/CGE 2.2,EN_INDCi2030_1800,R10REF_ECON,peak: 2030,net-zero: 2110,126.93536195130942,136.75224427999999,0,82,2030,2110
AIM/CGE 2.2,EN_INDCi2030_1800,R10REST_ASIA,peak: 2050,net-zero: 2110,146.8446845189713,160.05313908000008,0,74,2050,2110
AIM/CGE 2.2,EN_INDCi2030_1800f,R10AFRICA,peak: 2050,net-zero: 2110,96.59907444069046,100.49019887999997,0,19,2050,2110
AIM/CGE 2.2,EN_INDCi2030_1800f,R10CHINA+,peak: 2030,net-zero: 2110,457.4663664411522,465.15123103999997,0,78,2030,2110
AIM/CGE 2.2,EN_INDCi2030_1800f,R10EUROPE,peak: 2020,net-zero: 2110,170.9912830492332,170.85797209999998,0,302,2020,2110
AIM/CGE 2.2,EN_INDCi2030_1800f,R10INDIA+,peak: 2030,net-zero: 2080,113.74791041337477,108.25929879999995,1.82135622,17,2030,2080
AIM/CGE 2.2,EN_INDCi2030_1800f,R10LATIN_AM,peak: 2050,net-zero: 2080,91.17488329346534,94.9427568,5.079811500000001,15,2050,2080
AIM/CGE 2.2,EN_INDCi2030_1800f,R10MIDDLE_EAST,peak: 2050,net-zero: 2110,130.8656186476365,134.1789802,0,81,2050,2110
AIM/CGE 2.2,EN_INDCi2030_1800f,R10NORTH_AM,peak: 2020,net-zero: 2110,237.47802269086554,236.88111145999994,0,262,2020,2110
AIM/CGE 2.2,EN_INDCi2030_1800f,R10PAC_OECD,peak: 2020,net-zero: 2110,65.57426393263204,66.25440879999995,0,249,2020,2110
AIM/CGE 2.2,EN_INDCi2030_1800f,R10REF_ECON,peak: 2030,net-zero: 2110,126.93536195130942,136.75224427999999,0,82,2030,2110
AIM/CGE 2.2,EN_INDCi2030_1800f,R10REST_ASIA,peak: 2050,net-zero: 2110,146.8446845189713,160.05313908000008,0,74,2050,2110
AIM/CGE 2.2,EN_INDCi2030_800f,R10AFRICA,peak: 2030,net-zero: 2070,45.754314933933536,49.378432319999995,1.7920249000000004,48,2030,2070
AIM/CGE 2.2,EN_INDCi2030_800f,R10CHINA+,peak: 2030,net-zero: 2070,281.9135690548185,289.11764158000005,16.398659740000003,11,2030,2070
AIM/CGE 2.2,EN_INDCi2030_800f,R10EUROPE,peak: 2020,net-zero: 2060,87.96995212667554,87.84513919999999,6.4217096,91,2020,2060
AIM/CGE 2.2,EN_INDCi2030_800f,R10INDIA+,peak: 2030,net-zero: 2060,71.21256423746784,66.0540734,24.374900099999998,17,2030,2060
AIM/CGE 2.2,EN_INDCi2030_800f,R10LATIN_AM,peak: 2030,net-zero: 2060,41.35215687887462,44.828822939999995,27.949359940000004,60,2030,2060
AIM/CGE 2.2,EN_INDCi2030_800f,R10MIDDLE_EAST,peak: 2030,net-zero: 2060,67.54409373417914,70.6410351,6.692674499999998,16,2030,2060
AIM/CGE 2.2,EN_INDCi2030_800f,R10NORTH_AM,peak: 2020,net-zero: 2060,122.55461893106714,121.99999474000005,25.09777038,109,2020,2060
AIM/CGE 2.2,EN_INDCi2030_800f,R10PAC_OECD,peak: 2020,net-zero: 2060,34.17969445222317,34.813643639999995,9.39589308,134,2020,2060
AIM/CGE 2.2,EN_INDCi2030_800f,R10REF_ECON,peak: 2030,net-zero: 2060,69.8214487824569,78.99358058000001,4.931188199999999,5,2030,2060
AIM/CGE 2.2,EN_INDCi2030_800f,R10REST_ASIA,peak: 2030,net-zero: 2060,68.57997983404788,81.00494233999997,15.622469760000003,21,2030,2060
AIM/CGE 2.2,EN_INDCi2030_900f,R10AFRICA,peak: 2030,net-zero: 2070,50.598518914967656,54.243760480000006,1.89424088,48,2030,2070
AIM/CGE 2.2,EN_INDCi2030_900f,R10CHINA+,peak: 2030,net-zero: 2070,296.05523760195973,303.28282194,18.3923765,11,2030,2070
AIM/CGE 2.2,EN_INDCi2030_900f,R10EUROPE,peak: 2020,net-zero: 2070,96.09758544750699,95.97219494,6.68227004,65,2020,2070
AIM/CGE 2.2,EN_INDCi2030_900f,R10INDIA+,peak: 2030,net-zero: 2060,74.98054788382075,69.80340658,23.143345739999997,17,2030,2060
AIM/CGE 2.2,EN_INDCi2030_900f,R10LATIN_AM,peak: 2030,net-zero: 2060,47.20356104281503,50.7035028,26.341887800000002,60,2030,2060
AIM/CGE 2.2,EN_INDCi2030_900f,R10MIDDLE_EAST,peak: 2030,net-zero: 2060,72.20947800021938,75.31722029999999,6.440996920000002,16,2030,2060
AIM/CGE 2.2,EN_INDCi2030_900f,R10NORTH_AM,peak: 2020,net-zero: 2060,133.13046836117292,132.57339406,23.6431159,109,2020,2060
