iso3c,m49code,r5_iamc,r6_ipcc,r10_unif,r10_iamc,r10_ipcc,r10_message,r11_message,r12_message,r12_remind,r12_witch,r22_ipcc,m49hi_ipcc,m49med_ipcc,m49lo_ipcc,m49dev_ipcc,m49sids_ipcc,m49lldc_ipcc,m49ldc_ipcc,annexi_ipcc,wmo_ipcc,eu_ipcc,oecd_ipcc,wb_ipcc
MDG,450,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Sub-saharan Africa,Sub-saharan Africa,R12AFR,Sub-saharan Africa,ssa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,NA,NA,LDC,Non-Annex I,I,NA,NA,Low
MLI,466,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Sub-saharan Africa,Sub-saharan Africa,R12AFR,Sub-saharan Africa,ssa,Western Africa,Africa,Sub-Saharan Africa,Western Africa,Developing,NA,LLDC,LDC,Non-Annex I,I,NA,NA,Low
MOZ,508,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Sub-saharan Africa,Sub-saharan Africa,R12AFR,Sub-saharan Africa,ssa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,NA,NA,LDC,Non-Annex I,I,NA,NA,Low
MRT,478,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Sub-saharan Africa,Sub-saharan Africa,R12AFR,Sub-saharan Africa,ssa,Western Africa,Africa,Sub-Saharan Africa,Western Africa,Developing,NA,NA,LDC,Non-Annex I,I,NA,NA,Lower-middle
MUS,480,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Sub-saharan Africa,Sub-saharan Africa,R12AFR,Sub-saharan Africa,ssa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,SIDS,NA,NA,Non-Annex I,I,NA,NA,Upper middle
MWI,454,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Sub-saharan Africa,Sub-saharan Africa,R12AFR,Sub-saharan Africa,ssa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,NA,LLDC,LDC,Non-Annex I,I,NA,NA,Low
MYT,175,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Europe,Western Europe,R12AFR,Sub-saharan Africa,ssa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,NA,NA,NA,Territory,N/A,NA,NA,N/A
NAM,516,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Sub-saharan Africa,Sub-saharan Africa,R12AFR,Sub-saharan Africa,ssa,Southern and middle Africa,Africa,Sub-Saharan Africa,Southern Africa,Developing,NA,NA,NA,Non-Annex I,I,NA,NA,Upper middle
NER,562,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Sub-saharan Africa,Sub-saharan Africa,R12AFR,Sub-saharan Africa,ssa,Western Africa,Africa,Sub-Saharan Africa,Western Africa,Developing,NA,LLDC,LDC,Non-Annex I,I,NA,NA,Low
NGA,566,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Sub-saharan Africa,Sub-saharan Africa,R12AFR,Sub-saharan Africa,ssa,Western Africa,Africa,Sub-Saharan Africa,Western Africa,Developing,NA,NA,NA,Non-Annex I,I,NA,NA,Lower-middle
OMN,512,R5MAF,Middle East,R10AFRMEA,R10MIDDLE_EAST,Middle East,Middle East and North Africa,Middle East and North Africa,R12MEA,"Middle East, North Africa, Central Asia",mena,Middle East,Asia,Western Asia,Western Asia,Developing,NA,NA,NA,Non-Annex I,II,NA,NA,High
PSE,275,R5MAF,Middle East,R10AFRMEA,R10MIDDLE_EAST,Middle East,Middle East and North Africa,Middle East and North Africa,R12MEA,"Middle East, North Africa, Central Asia",mena,Middle East,Asia,Western Asia,Western Asia,Developing,NA,NA,NA,Non-Annex I,N/A,NA,NA,Lower-middle
QAT,634,R5MAF,Middle East,R10AFRMEA,R10MIDDLE_EAST,Middle East,Middle East and North Africa,Middle East and North Africa,R12MEA,"Middle East, North Africa, Central Asia",mena,Middle East,Asia,Western Asia,Western Asia,Developing,NA,NA,NA,Non-Annex I,II,NA,NA,High
REU,638,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Europe,Western Europe,R12AFR,Sub-saharan Africa,ssa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,NA,NA,NA,Territory,N/A,NA,NA,N/A
RWA,646,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Sub-saharan Africa,Sub-saharan Africa,R12AFR,Sub-saharan Africa,ssa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,NA,LLDC,LDC,Non-Annex I,I,NA,NA,Low
SAU,682,R5MAF,Middle East,R10AFRMEA,R10MIDDLE_EAST,Middle East,Middle East and North Africa,Middle East and North Africa,R12MEA,"Middle East, North Africa, Central Asia",mena,Middle East,Asia,Western Asia,Western Asia,Developing,NA,NA,NA,Non-Annex I,II,NA,NA,High
SDN,729,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Middle East and North Africa,Middle East and North Africa,R12MEA,"Middle East, North Africa, Central Asia",ssa,North Africa,Africa,Northern Africa,Northern Africa,Developing,NA,NA,LDC,Non-Annex I,I,NA,NA,Low
SEN,686,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Sub-saharan Africa,Sub-saharan Africa,R12AFR,Sub-saharan Africa,ssa,Western Africa,Africa,Sub-Saharan Africa,Western Africa,Developing,NA,NA,LDC,Non-Annex I,I,NA,NA,Lower-middle
SHN,654,NA,Africa,R10AFRMEA,NA,Africa,Europe,Western Europe,R12AFR,Sub-saharan Africa,ssa,Western Africa,Africa,Sub-Saharan Africa,Western Africa,Developing,NA,NA,NA,Territory,N/A,NA,NA,N/A
SLE,694,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Sub-saharan Africa,Sub-saharan Africa,R12AFR,Sub-saharan Africa,ssa,Western Africa,Africa,Sub-Saharan Africa,Western Africa,Developing,NA,NA,LDC,Non-Annex I,I,NA,NA,Low
SOM,706,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Sub-saharan Africa,Sub-saharan Africa,R12AFR,Sub-saharan Africa,ssa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,NA,NA,LDC,Non-Annex I,I,NA,NA,Low
SSD,728,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Middle East and North Africa,Middle East and North Africa,R12MEA,Sub-saharan Africa,ssa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,NA,LLDC,LDC,Non-Annex I,I,NA,NA,Low
STP,678,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Sub-saharan Africa,Sub-saharan Africa,R12AFR,Sub-saharan Africa,ssa,Southern and middle Africa,Africa,Sub-Saharan Africa,Middle Africa,Developing,SIDS,NA,LDC,Non-Annex I,I,NA,NA,Lower-middle
SWZ,748,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Sub-saharan Africa,Sub-saharan Africa,R12AFR,Sub-saharan Africa,ssa,Southern and middle Africa,Africa,Sub-Saharan Africa,Southern Africa,Developing,NA,LLDC,NA,Non-Annex I,I,NA,NA,Lower-middle
SYC,690,NA,Africa,R10AFRMEA,NA,Africa,Sub-saharan Africa,Sub-saharan Africa,R12AFR,Sub-saharan Africa,ssa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,SIDS,NA,NA,Non-Annex I,I,NA,NA,High
SYR,760,R5MAF,Middle East,R10AFRMEA,R10MIDDLE_EAST,Middle East,Middle East and North Africa,Middle East and North Africa,R12MEA,"Middle East, North Africa, Central Asia",mena,Middle East,Asia,Western Asia,Western Asia,Developing,NA,NA,NA,Non-Annex I,VI,NA,NA,Low
TCD,148,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Sub-saharan Africa,Sub-saharan Africa,R12AFR,Sub-saharan Africa,ssa,Southern and middle Africa,Africa,Sub-Saharan Africa,Middle Africa,Developing,NA,LLDC,LDC,Non-Annex I,I,NA,NA,Low
TGO,768,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Sub-saharan Africa,Sub-saharan Africa,R12AFR,Sub-saharan Africa,ssa,Western Africa,Africa,Sub-Saharan Africa,Western Africa,Developing,NA,NA,LDC,Non-Annex I,I,NA,NA,Low
TUN,788,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Middle East and North Africa,Middle East and North Africa,R12MEA,"Middle East, North Africa, Central Asia",mena,North Africa,Africa,Northern Africa,Northern Africa,Developing,NA,NA,NA,Non-Annex I,I,NA,NA,Lower-middle
TZA,834,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Sub-saharan Africa,Sub-saharan Africa,R12AFR,Sub-saharan Africa,ssa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,NA,NA,LDC,Non-Annex I,I,NA,NA,Lower-middle
UGA,800,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Sub-saharan Africa,Sub-saharan Africa,R12AFR,Sub-saharan Africa,ssa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,NA,LLDC,LDC,Non-Annex I,I,NA,NA,Low
YEM,887,R5MAF,Middle East,R10AFRMEA,R10MIDDLE_EAST,Middle East,Middle East and North Africa,Middle East and North Africa,R12MEA,"Middle East, North Africa, Central Asia",mena,Middle East,Asia,Western Asia,Western Asia,Developing,NA,NA,LDC,Non-Annex I,II,NA,NA,Low
ZAF,710,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Sub-saharan Africa,Sub-saharan Africa,R12AFR,Sub-saharan Africa,kosau,Southern and middle Africa,Africa,Sub-Saharan Africa,Southern Africa,Developing,NA,NA,NA,Non-Annex I,I,NA,NA,Upper middle
ZMB,894,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Sub-saharan Africa,Sub-saharan Africa,R12AFR,Sub-saharan Africa,ssa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,NA,LLDC,LDC,Non-Annex I,I,NA,NA,Lower-middle
ZWE,716,R5MAF,Africa,R10AFRMEA,R10AFRICA,Africa,Sub-saharan Africa,Sub-saharan Africa,R12AFR,Sub-saharan Africa,ssa,Eastern Africa,Africa,Sub-Saharan Africa,Eastern Africa,Developing,NA,LLDC,NA,Non-Annex I,I,NA,NA,Lower-middle
ASM,16,NA,Asia and developing Pacific,R10EASPAS,NA,South-East Asia and developing Pacific,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,easia,Developing Pacific,Oceania,Polynesia,Polynesia,Developing,SIDS,NA,NA,Territory,N/A,NA,NA,Upper middle
BRN,96,R5ASIA,Asia and developing Pacific,R10EASPAS,R10REST_ASIA,South-East Asia and developing Pacific,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,easia,South-East Asia,Asia,South-Eastern Asia,South-Eastern Asia,Developing,NA,NA,NA,Non-Annex I,V,NA,NA,High
CHN,156,R5ASIA,Asia and developing Pacific,R10EASPAS,R10CHINA+,Eastern Asia,Centrally Planned Asia and China,Centrally Planned Asia and China,R12CHN,China,china,Eastern Asia,Asia,Eastern Asia,Eastern Asia,Developing,NA,NA,NA,Non-Annex I,II,NA,NA,Upper middle
COK,184,NA,Asia and developing Pacific,R10EASPAS,NA,South-East Asia and developing Pacific,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,cajaz,Developing Pacific,Oceania,Polynesia,Polynesia,Developing,SIDS,NA,NA,Non-Annex I,V,NA,NA,N/A
FJI,242,R5ASIA,Asia and developing Pacific,R10EASPAS,R10REST_ASIA,South-East Asia and developing Pacific,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,easia,Developing Pacific,Oceania,Melanesia,Melanesia,Developing,SIDS,NA,NA,Non-Annex I,V,NA,NA,Upper middle
FSM,583,R5ASIA,Asia and developing Pacific,R10EASPAS,R10REST_ASIA,South-East Asia and developing Pacific,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,easia,Developing Pacific,Oceania,Micronesia,Micronesia,Developing,SIDS,NA,NA,Non-Annex I,V,NA,NA,Lower-middle
HKG,344,R5ASIA,Asia and developing Pacific,R10EASPAS,R10CHINA+,Eastern Asia,Centrally Planned Asia and China,Centrally Planned Asia and China,R12CHN,China,china,Eastern Asia,Asia,Eastern Asia,Eastern Asia,Developing,NA,NA,NA,Territory,N/A,NA,NA,High
IDN,360,R5ASIA,Asia and developing Pacific,R10EASPAS,R10REST_ASIA,South-East Asia and developing Pacific,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,easia,South-East Asia,Asia,South-Eastern Asia,South-Eastern Asia,Developing,NA,NA,NA,Non-Annex I,V,NA,NA,Lower-middle
KHM,116,R5ASIA,Asia and developing Pacific,R10EASPAS,R10CHINA+,South-East Asia and developing Pacific,Centrally Planned Asia and China,Centrally Planned Asia and China,R12RCPA,Other Asia,easia,South-East Asia,Asia,South-Eastern Asia,South-Eastern Asia,Developing,NA,NA,LDC,Non-Annex I,II,NA,NA,Lower-middle
KIR,296,NA,Asia and developing Pacific,R10EASPAS,NA,South-East Asia and developing Pacific,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,easia,Developing Pacific,Oceania,Micronesia,Micronesia,Developing,SIDS,NA,LDC,Non-Annex I,V,NA,NA,Lower-middle
KOR,410,R5ASIA,Asia and developing Pacific,R10EASPAS,R10REST_ASIA,Eastern Asia,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,kosau,Eastern Asia,Asia,Eastern Asia,Eastern Asia,Developing,NA,NA,NA,Non-Annex I,II,NA,OECD,High
LAO,418,R5ASIA,Asia and developing Pacific,R10EASPAS,R10CHINA+,South-East Asia and developing Pacific,Centrally Planned Asia and China,Centrally Planned Asia and China,R12RCPA,Other Asia,easia,South-East Asia,Asia,South-Eastern Asia,South-Eastern Asia,Developing,NA,LLDC,LDC,Non-Annex I,II,NA,NA,Lower-middle
MAC,446,R5ASIA,Asia and developing Pacific,R10EASPAS,R10CHINA+,Eastern Asia,Centrally Planned Asia and China,Centrally Planned Asia and China,R12PAS,China,china,Eastern Asia,Asia,Eastern Asia,Eastern Asia,Developing,NA,NA,NA,Territory,N/A,NA,NA,High
MHL,584,NA,Asia and developing Pacific,R10EASPAS,NA,South-East Asia and developing Pacific,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,easia,Developing Pacific,Oceania,Micronesia,Micronesia,Developing,SIDS,NA,NA,Non-Annex I,V,NA,NA,Upper middle
MMR,104,R5ASIA,Asia and developing Pacific,R10EASPAS,R10CHINA+,South-East Asia and developing Pacific,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,easia,South-East Asia,Asia,South-Eastern Asia,South-Eastern Asia,Developing,NA,NA,LDC,Non-Annex I,II,NA,NA,Lower-middle
MNG,496,R5ASIA,Asia and developing Pacific,R10EASPAS,R10CHINA+,Eastern Asia,Centrally Planned Asia and China,Centrally Planned Asia and China,R12RCPA,Other Asia,easia,Eastern Asia,Asia,Eastern Asia,Eastern Asia,Developing,NA,LLDC,NA,Non-Annex I,II,NA,NA,Lower-middle
MNP,580,NA,Asia and developing Pacific,R10EASPAS,NA,South-East Asia and developing Pacific,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,easia,Developing Pacific,Oceania,Micronesia,Micronesia,Developing,SIDS,NA,NA,Territory,N/A,NA,NA,High
