Model,Scenario,Region,Variable,Unit,2015,2019,2020,2030,2040,2045,2050,2053,2060,2070,2080,2090,2100
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8NORTH_AM,Emissions|Kyoto Gases (AR6-GWP100),Mt CO2-equiv/yr,7535.308459270319,7430.398791585978,7438.032514241408,8184.338492527227,7963.731970449937,7816.794215124182,7669.856459798427,7627.316615465023,7528.056978687079,6998.227457820877,6929.00443769503,7492.549086893056,8244.664259358158
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8PAC_OECD,Emissions|CO2,Mt CO2/yr,1830.2358738024109,1746.5387698669545,1735.9586711069078,1744.9102360857048,1535.1278743865362,1499.5072659883804,1463.8866575902248,1453.0888074288473,1427.8938237189666,1319.4764366388024,1324.2318743970434,1419.3742514499659,1545.928378309879
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8PAC_OECD,Emissions|CO2|AFOLU,Mt CO2/yr,97.5604772244117,98.24020615156472,101.88914013169668,100.85355682511336,82.16473378664531,47.286682539723785,12.408631292802252,-8.26527845686256,-56.50440120608045,-89.91046813375559,-158.60226624252462,-222.86948693907198,-233.16171681578797
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8PAC_OECD,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,1732.6753965779992,1648.2985637153897,1634.0695309752111,1644.0566792605914,1452.963140599891,1452.2205834486567,1451.4780262974225,1461.35408588571,1484.398224925047,1409.386904772558,1482.834140639568,1642.2437383890378,1779.090095125667
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8PAC_OECD,Emissions|Kyoto Gases (AR4-GWP100),Mt CO2-equiv/yr,2124.4665517138274,2030.9755609647616,2024.7014520934433,2040.5870772278809,1851.9251861916962,1799.4367515609338,1746.9483169301716,1735.84577421225,1709.9398412037663,1634.23133010879,1614.2702910497767,1587.542148871732,1689.9409031353648
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8PAC_OECD,Emissions|Kyoto Gases (AR5-GWP100),Mt CO2-equiv/yr,2140.1796517583225,2045.5715185640975,2039.6097029392565,2056.37056639831,1869.6168871436537,1815.700834884536,1761.7847826254183,1751.0106029138635,1725.8708502535683,1654.8031334400139,1633.4959110445625,1595.3139360621403,1695.5549729754362
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8PAC_OECD,Emissions|Kyoto Gases (AR6-GWP100),Mt CO2-equiv/yr,2173.6269891649717,2081.485035070193,2077.779496565696,2098.0939542608353,1928.6341401043242,1862.2797881445872,1795.9254361848502,1787.3504682223165,1767.3422096430704,1708.9461148853582,1676.0237261634354,1613.9199546524933,1713.588069094662
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8REF_ECON,Emissions|CO2,Mt CO2/yr,2545.993300899288,2597.3552410578072,2557.880661406832,2343.436123523721,2460.3350576624034,2704.236277562879,2948.137497463354,3011.8251190916903,3160.429569557807,3143.530330922153,3201.9005410477785,3299.546799549073,4016.8342216271767
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8REF_ECON,Emissions|CO2|AFOLU,Mt CO2/yr,57.20526234308875,40.04047339757279,36.08295382560808,-26.054440896122593,-108.56007813459097,-147.95302397795618,-187.34596982132138,-205.09572398287932,-246.51181702651445,-305.4081972918981,-358.62256172448156,-138.2692030141141,-427.9002223921835
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8REF_ECON,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,2488.7880385561994,2557.3147676602343,2521.797707581224,2369.490564419844,2568.8951357969945,2852.189301540835,3135.4834672846755,3216.9208430745693,3406.9413865843217,3448.938528214051,3560.52310277226,3437.8160025631873,4444.73444401936
